question,answer,topic,difficulty
333. Whatâ€™s the difference between grep and sed?,"grep searches for patterns, sed can search, replace, delete lines, etc.",general,medium
334. Whatâ€™s the difference between cut and awk?,cut is limited to simple delimited fields; awk is more powerful and programmable.,general,medium
335. How do you check CPU usage of processes?,top or htop,general,medium
336. What is a sticky bit?,A permission setting that allows only file owners to delete files in a directory.,general,medium
337. How do you run a process in the background?,command &,general,medium
338. What is nohup?,Runs a command immune to hangups; useful for background processes.,general,medium
339. How do you stop a process gracefully?,systemctl stop service_name,general,medium
340. How do you search for processes by a specific user?,ps -u username,general,medium
341. How do you create a background process in shell script?,./script.sh &,general,medium
342. Can you explain the file system hierarchy of Linux?,The Linux file system is hierarchical and starts at / (root). Key directories: 1. /bin â€“ essential binaries 2. /home â€“ user home directories 3. /var â€“ variable data like logs 4. /etc â€“ config files 5. /root â€“ root userâ€™s home directory,general,medium
343. What is a zombie process?,A zombie process is a completed process that still remains in the process table because its parent hasnâ€™t read its exit status.,general,medium
344. What is an inode?,"An inode is a unique identifier for a file storing metadata like size, ownership, and permissions (but not name or content).",general,medium
345. What is $@?,It lists all arguments passed to the script as separate words.,general,medium
346. What is $!?,It returns the PID of the last background process.,general,medium
347. What is $??,It gives the exit status of the last executed command (0 = success).,general,medium
348. What is the shebang (#!)?,It's the first line in a shell script: #!/bin/bash It tells the OS to use the Bash shell to execute the script.,general,medium
349. How do you comment in a shell script?,Use # before the line.,general,medium
350. How do you read input from a user inside a shell script?,Use read variable_name,general,medium
351. How do you pass arguments to a shell script?,"By calling it like ./script.sh arg1 arg2, then accessing with $1, $2, etc.",general,medium
352. How do you make a shell script executable?,"chmod +x script.sh Write a script to calculate the factorial of a number. bash read -p ""Enter a number: "" num fact=1 while [ $num -gt 1 ]; do fact=$((fact * num)) num=$((num - 1)) done echo ""Factorial: $fact"" 163. Write a script to reverse a string. bash CopyEdit read -p ""Enter string: "" str rev_str=$(echo ""$str"" | rev) echo ""Reversed: $rev_str"" 164. Write a script to check if a number is prime. bash CopyEdit read -p ""Enter number: "" num is_prime=1 for ((i=2; i<num; i++)); do if [ $((num % i)) -eq 0 ]; then is_prime=0 break fi done [ $is_prime -eq 1 ] && echo ""Prime"" || echo ""Not Prime"" 165. Write a script to find the largest of two numbers. bash CopyEdit read -p ""Enter first number: "" a read -p ""Enter second number: "" b [ $a -gt $b ] && echo ""$a is larger"" || echo ""$b is larger"" 166. Write a script to check if a file exists, and display its contents. bash CopyEdit read -p ""Enter filename: "" file if [ -f ""$file"" ]; then cat ""$file"" else echo ""No file found"" fi 167.                                           168. Write a script to list all files in the current directory. ls",general,medium
353. What is piping (|) in Linux?,It passes the output of one command as input to another. Example: ls | grep txt,general,medium
354. What does ls -p do?,"Lists files and directories, adding a / to directories.",general,medium
355. What is curl used for?,curl is used to transfer data from or to a server (like downloading files).,general,medium
356. How do you print lines 8â€“10 of a file?,"sed -n '8,10p' filename",general,medium
357. Difference between soft link and hard link?,Soft link (symbolic): Points to the filename. Breaks if target file is deleted. 1. Hard link: Points directly to the inode. File remains accessible even if original is deleted.,general,medium
358. What is nohup used for?,To run a process in the background even after logout or terminal close. Example: nohup script.sh &,general,medium
359. What is a zombie process?,A process that has completed execution but still remains in the process table because its parent hasnâ€™t read the exit status.,general,medium
360. What is an orphan process?,A process whose parent has terminated before the child. The orphan is adopted by init (PID 1).,general,medium
361. What is inode?,"A unique identifier for a file storing metadata (not file name or content), including size, permissions, and location on disk.",general,medium
362. How do you search for a file in Linux?,"find . -iname ""filename""",general,medium
363. How do you search for a pattern in files?,"grep -i ""pattern"" filename",general,medium
364. How do you list ports in Linux?,netstat -tuln or ss -tuln,general,medium
365. What is shebang?,"#!/bin/bash â€” the first line of a shell script, telling the OS which shell to use.",general,medium
366. What is $! in shell scripting?,PID of the last background process.,general,medium
367. How do you copy files between two EC2 instances?,scp -i key.pem file user@IP:/destination/path,general,medium
368. How do you make a passwordless SSH connection?,Use ssh-keygen to generate keys and copy the public key to the remote serverâ€™s ~/.ssh/authorized_keys.,general,medium
369. How do you check if a file exists in a script?,"bash CopyEdit if [ -f ""filename"" ]; then echo ""File exists"" else echo ""File not found"" fi",general,medium
370. Script to list all files in current directory?,bash CopyEdit ls,general,medium
371. Script to reverse a string?,"bash CopyEdit read str echo ""$str"" | rev",general,medium
372. Script to calculate factorial?,bash CopyEdit read n fact=1 while [ $n -gt 1 ]; do fact=$((fact * n)) n=$((n - 1)) done echo $fact ________________ ðŸ§¬ Git Essentials,general,medium
373. What is Git?,Git is a distributed version control system that helps track changes in code and collaborate across teams.,general,medium
374. How do you initialize a Git repository?,git init,general,medium
375. How do you clone a Git repository?,git clone <repo_url>,general,medium
376. How do you commit changes?,"bash CopyEdit git add filename git commit -m ""message""",general,medium
377. How do you push changes to remote?,git push origin branch-name,general,medium
378. How do you switch branches?,git checkout branch-name,general,medium
379. How do you check branches?,git branch,general,medium
380. How do you merge branches?,git merge branch-name,general,medium
381. What is git log used for?,To view commit history.,general,medium
382. What is git pull?,Pulls and merges changes from remote into local repo.,general,medium
383. What is git fetch?,Downloads new data from remote but doesnâ€™t merge it automatically.,general,medium
384. Difference between git pull and git fetch?,git pull = fetch + merge git fetch only downloads â€” you manually merge if needed.,general,medium
385. What is a tag in Git?,A human-friendly name to mark a specific commit (like a version tag).,general,medium
386. What is branching in Git?,"Creating independent lines of development from the main codebase (e.g., dev, feature-x).",general,medium
387. What is a central/bare repository?,"A Git repo without a working directory, used only to share code. Setup with git init --bare.",general,medium
"388. What is the workspace, staging, and repository in Git?",* Workspace: Where you edit files. * Staging: Area where you queue up changes (git add). * Repository: Where commits are stored (git commit).,general,medium
389. Can git commit alone push to remote?,No. You need git push to send commits to remote. ðŸ”— Links Review,general,medium
390. Difference between hard link and soft link?,-Hard link: Points to inode; file remains even if original is deleted. -Soft link: Points to filename; breaks if original is deleted.,general,medium
391. What is an inode?,"A data structure used by Linux to store information about a file (metadata). It includes file size, ownership, permissions, and memory addressâ€”but not the filename.",general,medium
392. How do you restrict file access in Linux?,1. Rename with a dot prefix (e.g. .filename) to make hidden. 2. Use chmod 750 filename to set strict permissions. 3. Limit access via chown and groups.,general,medium
393. How do you list open ports?,netstat -tuln or ss -tuln,general,medium
394. How do you regain root access if lost?,Use sudo su or reset password via sudo passwd username.,general,medium
395. How do you create a new user in Linux?,sudo adduser username,general,medium
396. What's the difference between su and sudo?,su switches user shells. sudo runs single commands as another user (usually root).,general,medium
397. How do you check system connectivity?,ping <IP or hostname>,general,medium
398. How do you restart a Linux service?,sudo systemctl restart servicename,general,medium
399. How do you check for memory usage?,"top, htop, free -h",general,medium
400. How do you find largest files taking up disk space?,du -sh * | sort -hr | head,general,medium
401. How do you monitor system logs?,"journalctl, or check /var/log/syslog or /var/log/messages",general,medium
402. How do you check IP address?,ip a or ifconfig,general,medium
403. What is swap space?,Disk space used as backup memory when RAM is full.,general,medium
404. What is a zombie process?,A terminated process that still has an entry in the process table.,general,medium
405. How do you kill a zombie process?,Identify child process and kill with kill -9 PID.,general,medium
406. How do you find a process ID (PID)?,ps -ef | grep <process_name>,general,medium
407. Difference between kill and pkill?,kill requires PID; pkill matches process name.,general,medium
408. How do you schedule a cron job?,"Edit with crontab -e, using * * * * * format (min hr day mon weekday).",general,medium
409. How do you search for a pattern in a file?,grep 'pattern' filename,general,medium
410. How do you view the 10th line of a file?,sed -n '10p' filename,general,medium
411. What is Git?,A distributed version control system used to track code changes and collaborate.,general,medium
412. Whatâ€™s the difference between Git and GitHub?,Git = tool; GitHub = remote cloud hosting for Git repositories.,general,medium
413. What is a Git branch?,A separate line of development in a repository.,general,medium
414. How do you create and switch branches?,bash CopyEdit git branch branch-name git checkout branch-name,general,medium
415. What is Git merge?,"Combines two branches into one, integrating changes.",general,medium
416. What is Git rebase?,Re-applies commits on top of another base. Used to maintain a cleaner commit history.,general,medium
417. Difference between Git merge and rebase?,Merge keeps history intact with a merge commit. Rebase rewrites history for a linear commit structure.,general,medium
418. What is Git cherry-pick?,Applies a single commit from one branch onto another.,general,medium
419. What is Git reset?,Moves HEAD to a specified state. Can undo commits or unstage files.,general,medium
420. What is Git revert?,Creates a new commit that reverses the changes of a previous one.,general,medium
421. What is Git stash?,Temporarily saves uncommitted changes so you can work on something else.,general,medium
422. What is Git tag?,Labels a specific commit for easy reference (like version numbers).,general,medium
423. What is git push?,Uploads local commits to a remote repository.,general,medium
424. Can you push directly without add/commit?,No. You must git add then git commit before git push.,general,medium
425. Difference between git add and git commit?,1. git add: Stages changes. 2. git commit: Saves staged changes into repo with a message.,general,medium
426. What is a merge conflict?,Happens when changes in two branches clash. Requires manual resolution.,general,medium
427. How do you resolve a merge conflict?,"Manually edit conflict markers, save, then git add and git commit.",general,medium
428. How do you check commit history?,git log,general,medium
429. How do you revert the last commit?,git revert HEAD,general,medium
430. How do you create a central (bare) repository?,git init --bare,general,medium
431. Difference between bare and non-bare repo?,"Bare: No working directory, used for central sharing. Non-bare: Regular repo with working directory.",general,medium
432. What is branching strategy?,"A method for managing Git branches in a team. Example: * Main for stable releases * Dev for development * Feature for isolated work * This is known as ""Git Flow""",general,medium
433. What is git rebase -i used for?,"Interactive rebase to squash, reorder, or edit commits.",general,medium
434. What is the purpose of .gitignore file?,"Tells Git which files or directories to ignore (e.g., .env, node_modules)",general,medium
435. How do you make sure a connection is secure?,Use SSH with key-based authentication and disable root login.,general,medium
436. How do you debug crashing services?,"Check logs: journalctl -xe, /var/log/ Monitor with top, htop, systemctl status servicename",general,medium
437. How do you monitor system resources?,"top, htop, vmstat, iostat",general,medium
438. How do you check open/closed ports?,"netstat -tuln, ss -ltn",general,medium
439. What are TCP and UDP?,"TCP = reliable, connection-based (e.g., HTTP/S) UDP = faster, connectionless (e.g., video streaming)",general,medium
440. What is an orphan process?,A process whose parent has terminated before it finishes. It's adopted by the init process (PID 1).,general,medium
441. What is a zombie process?,A completed process that still exists in the process table because the parent hasnâ€™t read its exit status.,general,medium
442. What is sticky bit permission?,Restricts deletion of files in a directory to only the file owner or root. Set using chmod +t.,general,medium
443. How do you change a user's password?,sudo passwd username,general,medium
444. How do you find the files modified in the last 7 days?,find . -mtime -7,general,medium
445. How do you check disk space usage?,df -h,general,medium
446. How do you list number of lines in a file?,wc -l filename,general,medium
447. How do you check the current user?,whoami,general,medium
448. How do you extract a .tar file?,tar -xvf file.tar,general,medium
449. How do you see the last few lines of a file?,tail -n <num> filename,general,medium
450. How do you list the running processes?,ps -ef or top,general,medium
451. How do you check network connectivity?,ping <host> or telnet <host> <port>,general,medium
452. How do you restart a service?,sudo systemctl restart service_name,general,medium
453. How do you debug if server crashes every minute?,"1. Check logs (journalctl, /var/log/) 2. Monitor memory/CPU (top, htop) 3. Look at service status with systemctl status",general,medium
454. How do you know if an SSH connection is secure?,"Use SSH key authentication and check for encrypted handshake (RSA, ed25519). Avoid password logins.",general,medium
455. What is the use of firewall?,"Filters incoming/outgoing traffic to protect the server. Use iptables, ufw, or security groups.",general,medium
456. How do you change file ownership?,chown user:group filename,general,medium
457. How do you find CPU usage per process?,"Use top and sort by %CPU or use ps -eo pid,ppid,%mem,%cpu,cmd --sort=-%cpu | head",general,medium
458. What is Git?,A distributed version control system used to track source code changes and collaborate with others.,general,medium
459. What is the difference between Git and GitHub?,Git is a tool. GitHub is a cloud-hosted platform for Git repositories.,general,medium
460. What is Git stash?,Temporarily saves uncommitted changes so you can switch branches or handle other tasks.,general,medium
461. What is Git reset?,Undoes changes by resetting files in the staging area or moving HEAD to a previous commit.,general,medium
462. What is Git revert?,Creates a new commit that undoes the changes of a previous commit.,general,medium
463. What is Git checkout?,Switches branches or restores files to a previous state.,general,medium
464. How do you create and switch to a new branch in one command?,git checkout -b new_branch,general,medium
465. How do you delete a local Git branch?,git branch -d branch_name,general,medium
466. How do you delete a remote Git branch?,git push origin --delete branch_name,general,medium
467. How do you check Git commit history?,git log,general,medium
468. How do you push code to remote?,git push origin branch_name,general,medium
469. How do you pull code from remote?,git pull origin branch_name,general,medium
470. Difference between Git clone and Git pull?,clone downloads the repo for the first time. pull updates your local repo with remote changes.,general,medium
471. Difference between Git merge and Git rebase?,Merge keeps history; rebase creates a linear history by replaying commits.,general,medium
472. What is Git stash used for?,Temporarily stores modified files to switch branches or handle other tasks.,general,medium
473. How do you revert to a previous commit?,git revert <commit_id>,general,medium
474. How do you resolve a merge conflict?,"Manually edit the conflict markers (<<<<<<<, =======, >>>>>>>), save, then git add + git commit.",general,medium
475. What is a bare vs non-bare repo?,Bare = central/shared (no working directory); Non-bare = local/dev repo with working copy.,general,medium
476. What is Git fork?,A fork is a copy of a repository on platforms like GitHub to your own account.,general,medium
477. What is the .gitignore file?,"Lists file patterns Git should ignore (e.g., *.log, node_modules/)",general,medium
478. What is Git tag?,"Labels a specific commit with a version identifier (e.g., v1.0.0)",general,medium
479. How do you delete a Git tag?,git tag -d tag_name (Remote: git push origin --delete tag tag_name),general,medium
480. How do you identify files in staging vs working directory?,Use git status: 1. Green = staged 2. Red = modified but not staged,general,medium
481. How do you add files to Git?,git add filename,general,medium
482. How do you commit changes in Git?,"git commit -m ""message""",general,medium
483. What causes merge conflict in Git?,Same file/line modified in two branches being merged.,general,medium
484. How do you get logs in Linux terminal history?,history or check .bash_history in the home directory.,general,medium
485. How do you securely connect to a server?,ssh -i key.pem user@host,general,medium
486. Whatâ€™s the difference between SCP and rsync?,1. scp: fast one-time copy 2. rsync: syncs only changed files (supports resume),general,medium
487. How do you list open ports?,netstat -tuln or ss -ltn,general,medium
488. What is the use of the uname command?,Shows system info. uname -a for all details including kernel version.,general,medium
489. What is the purpose of a cron job?,"Schedules recurring tasks (backups, monitoring, scripts).",general,medium
490. How do you schedule a cron job?,crontab -e using format: * * * * * command,general,medium
491. What is $? (dollar question mark)?,"Returns the exit status of the last executed command. 0 = success, non-zero = error.",general,medium
492. What is $! (dollar exclamatory)?,Returns the PID of the last background process.,general,medium
493. What is $$ (dollar dollar)?,Returns the PID of the current shell.,general,medium
494. What is $# (dollar hash)?,Shows the number of arguments passed to a shell script.,general,medium
495. What is $@?,Lists all the arguments passed to a script (each quoted individually).,general,medium
496. What is the use of while loop in shell scripting?,Executes a block of code repeatedly as long as the condition is true â€” often used to read files line-by-line.,general,medium
497. What is read used for in shell scripting?,Takes input from the user or file during script execution.,general,medium
498. What is the use of && (double ampersand)?,Runs the next command only if the previous one succeeds.,general,medium
499. What is the use of || (double pipe)?,Runs the next command only if the previous one fails.,general,medium
500. How do you check the current working directory?,pwd,general,medium
501. How do you list hidden files in Linux?,ls -a,general,medium
502. How do you display real-time system processes?,top,general,medium
503. How do you show disk space usage?,df -h,general,medium
504. How do you search for a pattern in Linux?,grep pattern filename,general,medium
505. How do you search for lines NOT matching a pattern?,grep -v pattern filename,general,medium
506. How do you check Linux kernel version?,uname -r or uname -a,general,medium
507. What is an inode?,"A data structure that stores metadata (permissions, owner, etc.) for files.",general,medium
"508. How do you extend a partition or filesystem (e.g., LVM)?",Use lvextend and resize2fs (for ext4). Example: lvextend -L +10G /dev/vgname/lvname resize2fs /dev/vgname/lvname,general,medium
509. How do you give execute permission to a file?,chmod +x filename,general,medium
510. How do you give read permission to owner and group only?,chmod 440 filename,general,medium
511. How do you change file ownership?,chown user:group filename,general,medium
512. How do you change file permissions?,chmod permissions filename,general,medium
513. How do you kill a process forcefully?,kill -9 PID,general,medium
514. How do you check number of lines in a file?,wc -l filename,general,medium
515. What is a package manager?,"Tool for installing, updating, and removing software.",general,medium
516. What is the package manager for Ubuntu?,apt,general,medium
517. How do you install a package in Ubuntu?,sudo apt install packagename,general,medium
518. How do you schedule a cron job?,Use crontab -e with syntax: * * * * * /path/to/script.sh,general,medium
519. What is Git branching strategy?,"A model for managing parallel development, e.g., feature branches â†’ merged into main.",general,medium
520. How do you create and switch to a new branch?,git checkout -b branch_name,general,medium
521. How do you create a branch only (without switching)?,git branch branch_name,general,medium
522. How do you switch branches?,git checkout branch_name,general,medium
523. What is git stash used for?,Temporarily saves changes in working directory to switch tasks without committing.,general,medium
524. What is git reset?,Moves the HEAD and optionally resets staging/working directory to a previous commit.,general,medium
525. What is git revert?,Creates a new commit that undoes the changes of a specific commit.,general,medium
526. What is git cherry-pick?,Applies the changes from a specific commit onto your current branch.,general,medium
527. What is git checkout?,Switches branches or restores files to a previous state.,general,medium
528. What is git fork?,Copies a repository under your GitHub account â€” used to propose changes.,general,medium
529. What is git squash?,Combines multiple commits into a single commit (typically during rebase).,general,medium
530. What is the difference between Git merge and Git rebase?,"1. Merge: Keeps history by combining branches with a merge commit. 2. Rebase: Rewrites history by replaying commits, creating a linear history.",general,medium
531. What is a bare vs non-bare repository?,1. Bare: Central repo without working directory. 2. Non-bare: Local repo with working copy â€” used for development.,general,medium
532. What does git log do?,"Shows commit history â€” author, date, message, commit ID.",general,medium
533. How do you move changes from working directory to staging area?,git add filename or git add .,general,medium
534. How do you set up passwordless SSH login?,1. Run ssh-keygen on source server 2. Copy public key (~/.ssh/id_rsa.pub) to target's ~/.ssh/authorized_keys,general,medium
535. How do you secure SSH connection?,1. Disable password auth 2. Use SSH keys 3. Use firewall/security groups,general,medium
536. How do you list open ports?,netstat -tuln or ss -ltn,general,medium
537. Whatâ€™s the difference between SCP and rsync?,1. SCP: One-time copy. 2. rsync: Syncs only changed parts and supports resume.,general,medium
538. What is CI/CD?,"Continuous Integration & Continuous Deployment â€” automates build, test, and release cycles.",general,medium
539. What happens in CI?,"Code is pulled, built, and tested automatically after each commit.",general,medium
540. What happens in CD (Deployment)?,"After successful CI, code is deployed to production or staging environments.",general,medium
541. What is Jenkins?,A popular open-source automation tool used for CI/CD pipelines.,general,medium
542. What is a build tool?,"Generates executable artifacts like .war, .jar, or .exe from source code.",general,medium
543. What build tool is used in Java?,Maven (using pom.xml) or Gradle.,general,medium
544. What is pom.xml?,"Configuration file for Maven that defines dependencies, plugins, and project structure.",general,medium
545. What is Jenkins master-slave architecture?,1. Master: Controls pipeline execution. 2. Slaves: Execute jobs on different environments/nodes.,general,medium
546. What are the 3 CI trigger methods in Jenkins?,1. Build periodically 2. SCM Polling 3. Webhooks,general,medium
547. What is a hard link vs soft link?,1. Hard link: Points to same inode. Survives file deletion. 2. Soft link: Shortcut to file path. Breaks if file is deleted.,general,medium
548. Difference between cut and awk?,"1. cut: Simple column extraction, uses delimiter (default: tab/space). 2. awk: More powerful; allows pattern scanning and column-wise processing.",general,medium
549. What is the correct order of CI/CD steps?,"Build â†’ Test â†’ Deploy 1. Build: Compile code and generate binaries 2. Test: Run unit, static (e.g., SonarQube), and integration tests 3. Deploy: Push to test/production environment",general,medium
550. What is Jenkins?,"Jenkins is an open-source automation tool used for CI/CD. It automates building, testing, and deploying applications.",general,medium
551. What is a job in Jenkins?,"A Jenkins job is a task configuration (e.g., build/test/deploy). It defines what to run and when to run it.",general,medium
552. What are post-build actions in Jenkins?,Actions after build success/failure: 1. Email notification 2. Deploy artifacts 3. Trigger another job 4. Archive artifacts,general,medium
553. What is a build in Jenkins?,"The build step compiles the source code and packages it into deployable binaries (e.g., .war, .jar, .zip).",general,medium
554. How do you integrate GitHub with Jenkins?,1. Use GitHub webhook 2. In Jenkins: Add Git repo URL under Source Code Management 3. Add build triggers like â€œGitHub hook triggerâ€,general,medium
555. How do you manually trigger a Jenkins build?,Click â€œBuild Nowâ€ in the Jenkins job dashboard.,general,medium
556. What are different ways to trigger Jenkins jobs?,1. GitHub webhook 2. Poll SCM 3. Build periodically (CRON) 4. After other projects 5. Manually,general,medium
557. What is Poll SCM in Jenkins?,"Jenkins polls the Git repo at a fixed interval (e.g., every 10 mins). If changes are found, it triggers a build.",general,medium
558. What is Build Periodically in Jenkins?,Schedules a build at regular intervals regardless of code changes.,general,medium
559. Difference between Poll SCM and Build Periodically?,"* Poll SCM: Triggers only if changes exist * Build Periodically: Triggers at a fixed time, even without changes",general,medium
560. What is Blue-Green Deployment?,"A technique where two identical environments are maintained: * Blue: Live/stable * Green: New version Switch happens only if green is tested successfully, minimizing downtime.",general,medium
561. What is Master-Slave configuration in Jenkins?,* Master: Central Jenkins server * Slaves: Distributed nodes that run jobs Helps scale and distribute load.,general,medium
562. Can we have multiple Jenkins masters?,"No, Jenkins supports only one master, but you can configure high availability using plugins and backups.",general,medium
563. What are the key features of Jenkins?,"* Open source * Supports plugins * Automates CI/CD * Distributed builds (master-slave) * Integrates with Git, Docker, SonarQube, etc.",general,medium
564. How do you configure Jenkins with Git?,* Add GitHub project URL under SCM * Set up credentials * Use webhooks to auto-trigger builds,general,medium
565. How do you debug a failed Jenkins job?,* Check Console Output * Verify Jenkins is up * Ensure node is online * Review logs and config,general,medium
566. What is the use of Console Output in Jenkins?,Shows live logs from the build process â€” used to debug errors and verify steps.,general,medium
567. What is a webhook in Jenkins?,A way for GitHub (or other SCM) to notify Jenkins of code changes in real time.,general,medium
568. How are Jenkins secrets stored?,"Jenkins stores secrets (e.g., credentials) securely using the Credentials Plugin and internal encryption.",general,medium
569. What is Holisium (probably meant â€œpoll SCMâ€)?,"Likely refers to polling interval, where Jenkins checks for Git changes periodically and triggers builds if needed.",general,medium
570. What is Continuous Integration (CI)?,Practice of automatically building and testing code whenever changes are pushed to version control.,general,medium
571. What is Continuous Deployment (CD)?,Automatically deploys every successful build to production with no manual approval.,general,medium
572. What is Continuous Delivery?,Automatically prepares build and awaits manual approval before deploying to production.,general,medium
573. Difference between Continuous Deployment and Delivery?,* Deployment: Auto-push to production * Delivery: Manual approval before production,general,medium
574. What is CI/CD process?,"A method to automate software development workflows: 1. Checkout: Pull code from Git 2. Build: Compile using Maven, generate binaries 3. Test: Unit/integration tests 4. Quality Analysis: Use SonarQube 5. Dockerize: Build & push Docker image 6. Deploy: Apply in Kubernetes",general,medium
575. How do you implement CI/CD using Jenkins?,"Use a Jenkins pipeline with stages: 1. checkout, build, test, code analysis, docker build, docker push, deploy Tools: Git, Maven, SonarQube, Docker, Kubernetes.",general,medium
576. What is a Jenkins pipeline?,A Jenkins feature to define CI/CD workflows in code via Jenkinsfile. Enables multistage automation like build â†’ test â†’ deploy.,general,medium
577. Difference between declarative and scripted pipeline?,"1. Declarative: Simpler, starts with pipeline {}, uses agent, stages, steps. 2. Scripted: Starts with node {}. Offers full control using Groovy scripting.",general,medium
578. How do you install Jenkins?,"1. Install Java & Wget 2. Download Jenkins using wget from jenkins.io 3. Install via sudo apt install or yum (Ubuntu/RedHat) 4. Setup dependencies (Git, Maven, etc.)",general,medium
579. What is a Jenkins job?,"A task configuration in Jenkins to perform operations like building code, testing, or deployment.",general,medium
580. Different types of Jenkins jobs/projects?,1. Freestyle project 2. Pipeline 3. Multi-configuration project 4. Folder 5. Multibranch pipeline,general,medium
581. How do you manually trigger a Jenkins build?,Click â€œBuild Nowâ€ on the Jenkins job dashboard.,general,medium
582. What are different ways to trigger Jenkins jobs?,1. Webhook (GitHub Push) 2. Poll SCM 3. Build periodically (CRON) 4. Trigger after another job 5. Manual,general,medium
583. Difference between Poll SCM and Build Periodically?,1. Poll SCM: Checks for Git changes at intervals; triggers build only if changes exist. 2. Build periodically: Runs build on schedule regardless of changes.,general,medium
584. What are post-build actions?,1. Send email notifications 2. Archive artifacts 3. Trigger other jobs 4. Delete workspace,general,medium
585. What does â€œDelete workspace when build is doneâ€ do?,Clears old files from the workspace to ensure clean environment for the next build.,general,medium
586. What is a workspace in Jenkins?,Directory on the Jenkins agent where job files and outputs are temporarily stored during a build.,general,medium
587. How do you debug a failed Jenkins job?,"1. Use Console Output to check logs 2. Identify recent changes 3. Check system status, agent availability",general,medium
588. How do you receive notifications after a build?,Configure post-build actions to send emails or alerts using plugins.,general,medium
589. How do you configure Jenkins to work with Git?,1. Add repo URL in Source Code Management 2. Configure credentials 3. Use webhooks or polling to trigger builds,general,medium
590. How do you integrate SonarQube with Jenkins?,1. Install SonarQube Scanner plugin 2. Add SonarQube server & token in Jenkins 3. Configure scanner in Global Tool Configuration 4. Use it in pipeline with proper steps,general,medium
591. What are Jenkins plugins?,"Add-on modules that extend Jenkins capabilities, e.g., Git, Maven, Docker, SonarQube, etc.",general,medium
592. What are Jenkins shared libraries?,"Reusable, version-controlled Groovy scripts to standardize pipelines across projects. (Not covered in class.)",general,medium
593. How do you manage secrets in Jenkins?,"1. Use Credentials Plugin 2. Store API tokens, passwords securely 3. Reference them in pipeline without exposing them in logs",general,medium
594. How do you prevent secrets from showing in logs?,1. Mask credentials using the â€œMask Passwordsâ€ plugin 2. Avoid echo or print statements with secret variables,general,medium
595. How do you secure Jenkins?,1. Use matrix-based security 2. Secure secrets via credentials 3. Limit user access 4. Use HTTPS,general,medium
596. What is an agent in Jenkins pipeline?,"Specifies where the job runs: 1. agent any â†’ any available node 2. agent none â†’ used for scripted blocks 3. Can target specific label (e.g., agent { label 'docker' })",general,medium
597. What are parallel builds in Jenkins?,Running multiple pipeline stages simultaneously using parallel block â€” useful for speeding up test jobs.,general,medium
598. How do you handle large jobs on a Jenkins server with limited resources?,1. Use master-slave architecture 2. Scale horizontally (add nodes) or vertically (add resources) 3. Use job throttling plugins,general,medium
599. Can you scale Jenkins for large projects?,"Yes, using: 1. Horizontal scaling (add slave nodes) 2. Vertical scaling (add CPU/memory)",general,medium
600. How do you ensure high availability in Jenkins?,1. Use backup master via HA plugin 2. Load balancing 3. Use Jenkins Operations Center (in enterprise environments),general,medium
601. What is the purpose of building binaries?,"Converts human-readable code to machine-executable files (e.g., .jar, .war) for deployment.",general,medium
602. What is blue-green deployment?,"Technique to reduce downtime: 1. Blue = current stable version 2. Green = new version After testing green, traffic is switched from blue to green.",general,medium
603. How do you integrate SonarQube with Jenkins?,1. Install SonarQube Scanner plugin 2. Configure Sonar server in Jenkins 3. Use token and URL in pipeline 4. Optionally use Quality Gates for pre-deploy checks,general,medium
604. What are Quality Gates in SonarQube?,"Set of rules (e.g., code coverage, bugs, vulnerabilities) â€” build passes only if gate conditions are met.",general,medium
605. What is parameterization in Jenkins?,"1. Lets you pass values into jobs (e.g., env, version) 2. Types: String, Boolean, Choice, Password",general,medium
606. What is the use of Jenkinsfile?,1. Stores pipeline definition as code 2. Enables version control and repeatable CI/CD pipelines,general,medium
